domain,scheme,scheme_type,mean_accuracy,std_accuracy,improvement_pct,rank_in_domain,num_combinations,cross_domain_transfer
Cora_NC,b1,baseline,0.5093333333333334,0.03818376618407368,0.0,2.0,2,False
Cora_NC,b2,single_task,0.47050000000000003,0.04549053625633461,-7.624345549738229,8.0,2,False
Cora_NC,b3,single_task,0.4893333333333333,0.0622253967444162,-3.9267015706806534,4.0,2,False
Cora_NC,b4,single_domain,0.46950000000000003,0.06387531256718486,-7.820680628272261,9.0,2,False
Cora_NC,s1,multi_task,0.5126666666666667,0.01131370849898477,0.6544502617800979,1.0,2,True
Cora_NC,s2,multi_task,0.48183333333333334,0.044076322693961514,-5.399214659685879,5.0,2,True
Cora_NC,s3,multi_task,0.49633333333333335,0.046669047558312096,-2.552356020942421,3.0,2,True
Cora_NC,s4,cross_domain,0.4806666666666666,0.03771236166328258,-5.628272251308934,6.0,2,True
Cora_NC,s5,cross_domain,0.4761666666666666,0.037476659402887094,-6.511780104712065,7.0,2,True
CiteSeer_NC,b1,baseline,0.43516666666666665,0.025691546383111222,0.0,1.0,2,False
CiteSeer_NC,b2,single_task,0.43250000000000005,0.028519973507857416,-0.6127920337035454,2.0,2,False
CiteSeer_NC,b3,single_task,0.381,0.040540788788028775,-12.447338184603595,8.0,2,False
CiteSeer_NC,b4,single_domain,0.4073333333333333,0.027341462205879928,-6.3960168517809235,3.0,2,False
CiteSeer_NC,s1,multi_task,0.3728333333333333,0.01626345596729061,-14.324013787820764,9.0,2,True
CiteSeer_NC,s2,multi_task,0.38149999999999995,0.032762614194976745,-12.332439678284189,6.0,2,True
CiteSeer_NC,s3,multi_task,0.40383333333333327,0.02710575994548436,-7.200306396016863,4.0,2,True
CiteSeer_NC,s4,cross_domain,0.3813333333333333,0.00047140452079097976,-12.370739180390657,7.0,2,True
CiteSeer_NC,s5,cross_domain,0.39849999999999997,0.0011785113019776065,-8.425890463423979,5.0,2,True
