Domain,Scheme,Overall_Speedup
CiteSeer_LP,b2,0.9300304193545842
CiteSeer_LP,b3,0.8917295978656812
CiteSeer_LP,s1,0.7982547177080377
CiteSeer_LP,s2,0.8469367782502867
CiteSeer_LP,s3,0.7715767343404766
CiteSeer_LP,s4,0.9574865784771779
CiteSeer_LP,s5,1.0666757658719295
CiteSeer_NC,b2,1.2282019210814832
CiteSeer_NC,b3,1.233272020815256
CiteSeer_NC,s1,1.4293226192722706
CiteSeer_NC,s2,1.4509954451102562
CiteSeer_NC,s3,1.407951958902897
CiteSeer_NC,s4,1.5441221173409603
CiteSeer_NC,s5,1.5112860304731817
Cora_LP,b2,1.475515050147722
Cora_LP,b3,1.3438226148592063
Cora_LP,s1,1.442179084368028
Cora_LP,s2,1.4795936391495232
Cora_LP,s3,1.4639578952240158
Cora_LP,s4,1.1038922132160232
Cora_LP,s5,1.3416899962884987
Cora_NC,b2,1.0353760105166796
Cora_NC,b3,1.0477246766765362
Cora_NC,s1,1.091323370759027
Cora_NC,s2,1.1830258496065926
Cora_NC,s3,1.0875216119027935
Cora_NC,s4,1.181865012242034
Cora_NC,s5,1.0637759074821191
ENZYMES,b2,0.8708613521001765
ENZYMES,b3,0.9090736725075775
ENZYMES,s1,0.944144004538981
ENZYMES,s2,0.8810825040069556
ENZYMES,s3,0.9234051777572572
ENZYMES,s4,0.8710283616203954
ENZYMES,s5,0.893571238786954
PTC_MR,b2,1.1322502911086396
PTC_MR,b3,0.9879331760047846
PTC_MR,s1,0.9264873860893215
PTC_MR,s2,1.132986225027682
PTC_MR,s3,1.0159333653592313
PTC_MR,s4,0.8531714546158222
PTC_MR,s5,0.809802653221173
