Domain,Scheme,Overall_Speedup,Parameter_Efficiency
CiteSeer_LP,b2,0.8313805315526716,2.153935438715302
CiteSeer_LP,b3,0.7027280020211228,2.153935438715302
CiteSeer_LP,s1,0.7000230066683533,2.153935438715302
CiteSeer_LP,s2,0.7055194564698231,2.153935438715302
CiteSeer_LP,s3,0.8401943274073079,2.153935438715302
CiteSeer_LP,s4,0.8338877784658432,2.153935438715302
CiteSeer_LP,s5,0.8233201509263937,2.153935438715302
CiteSeer_NC,b2,1.3240484618983648,2.391429665845153
CiteSeer_NC,b3,1.4006253617575108,2.391429665845153
CiteSeer_NC,s1,1.4495986339228593,2.391429665845153
CiteSeer_NC,s2,1.5711394835303831,2.391429665845153
CiteSeer_NC,s3,1.6120574281604882,2.391429665845153
CiteSeer_NC,s4,1.567083494956784,2.391429665845153
CiteSeer_NC,s5,1.5025311235545236,2.391429665845153
Cora_LP,b2,1.6831126293424252,3.341346502885414
Cora_LP,b3,1.6992248525737585,3.341346502885414
Cora_LP,s1,1.2590324120977132,3.341346502885414
Cora_LP,s2,1.667485349711247,3.341346502885414
Cora_LP,s3,1.2614871609428298,3.341346502885414
Cora_LP,s4,1.6740647604868597,3.341346502885414
Cora_LP,s5,1.469995099525162,3.341346502885414
Cora_NC,b2,1.0945279092752098,4.579294289620075
Cora_NC,b3,1.0769848739348726,4.579294289620075
Cora_NC,s1,1.2698486786160863,4.579294289620075
Cora_NC,s2,1.1457102146576703,4.579294289620075
Cora_NC,s3,1.1246479856272373,4.579294289620075
Cora_NC,s4,1.1582401440762664,4.579294289620075
Cora_NC,s5,1.2131121180035416,4.579294289620075
ENZYMES,b2,1.1124717863707343,40.27071577071577
ENZYMES,b3,1.3685964014248122,40.27071577071577
ENZYMES,s1,1.2645025261872667,40.27071577071577
ENZYMES,s2,1.1015239992386945,40.27071577071577
ENZYMES,s3,1.1168845721476497,40.27071577071577
ENZYMES,s4,1.076296266045309,40.27071577071577
ENZYMES,s5,1.0568727298994596,40.27071577071577
PTC_MR,b2,0.9952346145294382,35.31728523228653
PTC_MR,b3,1.2719365069529232,35.31728523228653
PTC_MR,s1,1.0482496764005973,35.31728523228653
PTC_MR,s2,1.1234414630767324,35.31728523228653
PTC_MR,s3,1.1370512478781651,35.31728523228653
PTC_MR,s4,1.2954898574821077,35.31728523228653
PTC_MR,s5,1.0340054931146,35.31728523228653
